Card   1:  2 15 17 11 64 59 45 41 61 19 |  4 36 62 43 94 41 24 25 13 83 97 86 61 90 67  7 15 58 18 19 38 17 49 52 37
Card   2: 41 62 67 93 88 12 78 51 95 49 | 55 63 89 78 45 11 62 50 81  9 32 82 15 36 74 54  4 58  5 56 44 83 90 49 34
Card   3: 51 22 38 33 85 23 56 76 60 93 | 94 40 61 37 38 82 93 96 13 50 81 65 56 26  4 18 86 30  8 16 60 27 23 48 51
Card   4: 51  6 90 10 97 65 19 17 24  3 | 93 82 10 13 17  3 90 74 14  7 77 38 70 97 72 60  6 79 65 94 24 19 51 45 28
Card   5: 76 61 43 95 41  2 40 58 30 96 | 72 23 69  5 30  3 10 17 78 20 13 86 60 81 90 46 96 39  6 32 31 73 65 95 62
Card   6: 32 70 49 99 27 26 75 96 91  4 | 15 74 28  2 17 82 55 96 88 11 95 77 12 38 91  3 56 44  7 32 19 94 85 27 97
Card   7: 38 21 90 66 46 32 55 94 72 75 |  3 10 90 77 41 99 46 82 65 72  9 21 66 94 80 22 97 56 93 61 18 81 34 76 64
Card   8: 32 36 87 79  4 17  1 77 16 63 |  9 63 23 25 91 82 35 74 28 72  6 52 56 12 39 99 57 46 15 76 85  2 75 77 96
Card   9: 42  5 58 80 96 88 37 30 49 69 | 26  6 17 71 46 51 45 10 62 33 38 23 42 74 50 61 95 11 93 57 14 22 72 85 86
Card  10: 10 74 58 71 57 35 34 96 77 18 | 14 27 22 18 70 42 56 94 76 74 85 73 61 34 88 45 39 64 35 87 90 58 91 75 54
Card  11: 24 26 43 62 66 93 38 51 95 86 | 31 75 23 91 12  3 90  9 36 87 76 58 40 35 56 65 17 74 61 93 20 71 82 92 73
Card  12:  2 25 63 37 64 81 20 15 28 88 | 67 26 12  6 58 37 69 93 83 52 81 25 19 30 80 54 73 21 86 20  8 57 47 32 60
Card  13: 48 37 14 80 51 17 85 26 40 33 | 80  7 79 38  8 74 10 78 89 16 81 84 19 49 86 83 63 82 40 58 25 47 53 34  4
Card  14: 93 27  7 80 63 89 50 96  3 15 |  6 19 40 46 51 29  9 86 39 77  4 54 38 41 67 69  1 56  5 35 30 17 71  2 43
Card  15: 33 72 28 75 56 22 16 38 44 51 | 81 67 79 73 52 40 69 43 12 77 31 41 23 14 64 58  5 88 95 13 99  6 42 83 38
Card  16: 36 82 59 39 57 26 61 45 60 65 | 66 51 24  1  4 78 17 16 74 95 34 47 75  6 67 44 48 14 10 89 46  2 31 18 68
Card  17: 40 50 36  8 54 17 29 13 89 98 |  6 59 60 57 18 30 80 32 46 77 86 35 48 84 91  4 38 99 17 33  3 15 82 83 62
Card  18: 81 11 66 67 19 65 39 64 20  9 | 25 14 60  2 50 97 43 18 36 24 89 74 94 71 51 45  5 34 52 31 90  6 48 40 55
Card  19: 41 81 99 97 18 92 79 82 83 62 | 97 34 41 76 87 60 21 63 93 55 77 92 42 56 80 94 81 36 11  1 83 70 52  5 29
Card  20: 50 94 73 61 56 88 35 48 54 21 | 89 35 83 42 45 12 61 18 68 52 13 25 88 54  6 74 21 57 50 56 34 73 48 94 46
Card  21: 95 69 16 96 19 86 94 74 33  1 | 19 95 86 16 94 76 17 39  5  1 97 27 44 69 74 96 29 48 14 92 33  7 12 91 42
Card  22: 17 78 32 62 96 43 68 23 97 52 | 97 28 87 26 23 14 78 39 92 56 31  3 32 52 13 43 80 62 17 69 68  5 96 25 75
Card  23: 57 93  4  6  2 34 18 80 99  9 |  9 53 58 19 35  6 46 87 86 36 59 17 26 54 39 52 99 20 69 18 25 30 34 41 42
Card  24: 72 43  5 36 81 31 77 76 58 48 | 75 48 31 88 33 38 37 69 40 25  4 93 35 23 76 36 64 44  6 65 59 15 43 17 28
Card  25: 14 52 98 94 85 95 27 54 67 34 | 54 14 19  3 24 36  6 52 16 95 76 61 23  8 98 34 28 99 67 85 27 55 70 59 94
Card  26: 33 15 53 51 14 47 12 83  6 48 | 25 15 51 33 12 53 60 49 98 47 30 89 78 83 88 85  6  7 38 92 48 93 74 14  9
Card  27: 72 33 73 12 18 13 15 88 82 39 | 23 33 72 13 18  1 12 15 64  8 59 73 48 31 40 57 76 39 52 88 89 36 82 41 67
Card  28: 42 32 84 56 53 69  5 15  8 63 | 88 32 91 44 62 37 69 72 98 29  8 82 21  5 56 15  6 42 58 61 89 35 96 84 59
Card  29: 51 41 27 43 38 63 67 26  8 50 | 52  8  1 32 26 59  4 67 27 98 75 11 54 14 50 16 70 66  2 86 62 37 65 38 55
Card  30: 79 88 87 54 17 18 16 58 57  1 | 54 17 68 89 10 29 97 16 72 57  2 38 12 65 98 11  1 33 64 40 79 63 70 88 18
Card  31: 61 75 59 95 28 91 57 54 55 82 | 19 57 30 95 54 81 64 28 94 92  3 80 10 63  6 83 88 69 59 15 27 93 96 40 38
Card  32: 67 44 87 82 49  2 85 79 35 77 | 65 21 63 44  4 52 28 89 11 87 37 97 76 71 64 96 69 79 93 13 33  5  7 58 35
Card  33: 34 69 25 16 38  4 48 28 39 80 | 90 71 48 27 46 54 19 16 69 12  6 59 25 17 10 81 47 30 28 13 66 38 58  4 80
Card  34: 65 48 49 80 28  9 22 57 47 95 | 28 59 79  2  4 89 64 98 14 90 18 22 92 52  3 37 95 87 74 54 43 26 51 42 88
Card  35: 60  8 75 58 47 63 90 71 93 50 | 60  9 24 63 98 66 39 91 46 34 86 67 16 95 53 73 48 87 75 96 44 90 68 26 93
Card  36: 31 61 33 38 70 46  2 81 73 58 | 49 67 79  3 20 64 96 62 81 82 54 57 70 30 43 56 71 86  6 19 48 93 58 15 27
Card  37: 86 62 46 70 33 84 90 66 89 96 | 56 39 63 53 45 80 49 61 52 64 12 69 74 26 44 86 96 62 27 31 78  2 28 21 16
Card  38: 95 40 44 15 99 76 85 20 38 11 | 57 22 23 29 69 90 48 51 66 24 11 32 33 25 92 94 70 88 78 39 28 60 77 55 31
Card  39: 67 40 10 87 93 47 23 98 96 91 | 14 30 78 72 70 99 52 65 84 12 18 75 59 85 83 89 55 11 82 34 63 10 97 54 69
